personID,participant_speaker,num_Q,choice,conflicted,difficulty_score,evidence
D2,SPEAKER 2,1,B,False,2,
D2,SPEAKER 2,2,B,False,1,
D2,SPEAKER 2,3,B,False,1,
D2,SPEAKER 2,4,A,False,1,
D2,SPEAKER 2,5,B,False,1,
D2,SPEAKER 2,6,B,False,1,
D2,SPEAKER 2,7,B,False,1,
D2,SPEAKER 2,8,B,False,1,
D2,SPEAKER 2,9,B,False,1,
D2,SPEAKER 2,10,B,False,1,
D2,SPEAKER 2,11,A,False,1,
D2,SPEAKER 2,12,B,False,1,
D2,SPEAKER 2,13,A,False,1,
D2,SPEAKER 2,14,A,False,1,
D2,SPEAKER 2,15,A,False,1,
D2,SPEAKER 2,16,B,False,1,
D2,SPEAKER 2,17,B,False,1,
D2,SPEAKER 2,18,B,False,1,
D2,SPEAKER 2,19,B,False,1,
D2,SPEAKER 2,20,B,False,1,
D2,SPEAKER 2,21,A,False,1,
D2,SPEAKER 2,22,A,False,1,
D2,SPEAKER 2,23,B,False,1,
D2,SPEAKER 2,24,A,False,1,
D2,SPEAKER 2,25,unclear,True,3,Because of the organization's size and level of food access.
D2,SPEAKER 2,26,B,False,1,
D2,SPEAKER 2,27,A,False,1,
D2,SPEAKER 2,28,B,False,1,
D2,SPEAKER 2,29,B,False,1,
D2,SPEAKER 2,30,A,False,1,
D2,SPEAKER 2,31,A,False,1,
D2,SPEAKER 2,32,A,False,1,
D2,SPEAKER 2,33,B,True,3,"B, because of the level of food access of coffee. Right? Maybe because of the level of food access and the organization size. Well, I guess those are the same."
D2,SPEAKER 2,34,A,False,1,
D2,SPEAKER 2,35,A,False,1,
D2,SPEAKER 2,36,B,False,1,
D2,SPEAKER 2,37,A,False,1,
D2,SPEAKER 2,38,B,False,1,
D2,SPEAKER 2,39,A,False,1,
D2,SPEAKER 2,40,A,False,1,
D2,SPEAKER 2,41,B,False,1,
D2,SPEAKER 2,42,B,False,1,
D2,SPEAKER 2,43,A,False,1,
D2,SPEAKER 2,44,B,False,1,
D2,SPEAKER 2,45,A,False,1,
R3,SPEAKER 2,1,B,False,1,
R3,SPEAKER 2,2,A,False,1,
R3,SPEAKER 2,3,A,False,1,
R3,SPEAKER 2,4,B,False,1,
R3,SPEAKER 2,5,B,False,1,
R3,SPEAKER 2,6,B,False,1,
R3,SPEAKER 2,7,B,False,1,
R3,SPEAKER 2,8,A,False,1,
R3,SPEAKER 2,9,B,False,1,
R3,SPEAKER 2,10,A,False,1,
R3,SPEAKER 2,11,A,False,1,
R3,SPEAKER 2,12,A,False,1,
R3,SPEAKER 2,13,A,False,1,
R3,SPEAKER 2,14,A,False,1,
R3,SPEAKER 2,15,A,False,2,
R3,SPEAKER 2,16,B,False,1,
R3,SPEAKER 2,17,A,False,1,
R3,SPEAKER 2,18,A,False,1,
R3,SPEAKER 2,19,B,False,1,
R3,SPEAKER 2,20,A,False,1,
R3,SPEAKER 2,21,B,False,1,
R3,SPEAKER 2,22,A,True,4,She's not one of you guys do this. This is difficult to choose from.
R3,SPEAKER 2,23,B,False,1,
R3,SPEAKER 2,24,B,False,1,
